productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
83665,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83665_200w.jpg,3,1465,https://cpt.tcgcsv.com/ktH,2023-01-06T21:18:45.513,1,RC17/RC25,Common,80,Basic,[3] Relaxed Roll (30x) Flip a coin until you get tails.  This attack does 30 damage times the number of heads.,Fx2,2,1.15,3.0,25.0,3.2,3.16,Holofoil,,,
84321,Cinccino,Cinccino,https://tcgplayer-cdn.tcgplayer.com/product/84321_200w.jpg,3,1465,https://cpt.tcgcsv.com/rLH,2025-02-02T04:19:27.877,1,RC19/RC25,Uncommon,90,Stage 1,"[3] Echoed Voice (50) During your next turn, this Pokemon's attack does 50 more damage (before applying Weakness and Resistance).",Fx2,1,3.99,8.0,25.0,8.36,7.95,Holofoil,"Smooth Coat - If any damage is done to this Pokemon by attacks, flip a coin.  If heads, prevent that damage.  (Ability)",,
85094,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85094_200w.jpg,3,1465,https://cpt.tcgcsv.com/V2J,2024-07-10T05:29:14.95,1,RC14/RC25,Uncommon,60,Basic,"[1] Surprise Attack (20) Flip a coin.  If tails, this attack does nothing.",Fx2,1,14.1,23.54,60.0,22.42,24.99,Holofoil,,,
85174,Elesa,Elesa,https://tcgplayer-cdn.tcgplayer.com/product/85174_200w.jpg,3,1465,https://cpt.tcgcsv.com/v5J,2024-08-12T19:56:07.22,1,RC20/RC25,Common,0,Supporter,"Search your deck for 3 Pokemon Tool cards, reveal them, and put them into your hand.  Shuffle your deck afterward.",,,0.2,0.98,4.49,1.03,0.99,Holofoil,You may play only 1 Supporter card per turn (before your attack).,,
85194,Emolga (Full Art),Emolga Full Art,https://tcgplayer-cdn.tcgplayer.com/product/85194_200w.jpg,3,1465,https://cpt.tcgcsv.com/V5J,2023-01-06T21:21:03.273,1,RC23/RC25,Ultra Rare,70,Basic,[1] Call for Family - Search your deck for 2 Basic Pokemon and put them onto your Bench.  Shuffle your deck afterward.,Lx2,0,50.0,64.0,99.34,60.25,58.99,Holofoil,,[L] Static Shock (20),F-20
85639,Gardevoir,Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/85639_200w.jpg,3,1465,https://cpt.tcgcsv.com/PgJ,2023-01-06T21:17:33.2,1,RC10/RC25,Uncommon,120,Stage 2,[1P] Psybeam (40) The Defending Pokemon is now Confused.,Px2,1,0.99,7.19,25.0,10.86,,Holofoil,,[PP] Eternal Radiance - Move all damage counters from this Pokemon to the Defending Pokemon.  This Pokemon can't use Eternal Radiance during your next turn.,
85963,Growlithe,Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/85963_200w.jpg,3,1465,https://cpt.tcgcsv.com/hpJ,2023-11-22T03:37:08.74,1,RC4/RC25,Uncommon,80,Basic,[2] Rest - Heal all damage from this Pokemon.  This Pokemon is now Asleep.,Wx2,2,6.15,14.38,60.0,20.99,20.95,Holofoil,,"[2R] Lunge (40) Flip a coin.  If tails, this attack does nothing.",
86472,Kirlia,Kirlia,https://tcgplayer-cdn.tcgplayer.com/product/86472_200w.jpg,3,1465,https://cpt.tcgcsv.com/sCJ,2023-01-06T21:22:25.567,1,RC9/RC25,Common,70,Stage 1,[P] Tiptoe Step - Draw a card for each P Energy attached to this Pokemon.,Px2,1,1.99,3.99,15.0,3.98,3.98,Holofoil,,[1P] Double Slap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,
87304,Meloetta EX,Meloetta EX,https://tcgplayer-cdn.tcgplayer.com/product/87304_200w.jpg,3,1465,https://cpt.tcgcsv.com/6XJ,2025-06-08T04:56:29.687,1,RC11/RC25,Ultra Rare,110,Basic,"[2] Brilliant Voice (20) Flip a coin.  If heads, the Defending Pokemon is now Asleep.  If tails, the Defending Pokemon is now Confused.",Px2,1,6.0,10.0,25.0,11.3,,Holofoil,,[PPP] Round (30x) Does 30 damage times the number of your Pokemon that have the Round attack.,
87305,Meloetta EX (Full Art),Meloetta EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/87305_200w.jpg,3,1465,https://cpt.tcgcsv.com/7XJ,2024-10-26T08:10:06.477,1,RC25/RC25,Ultra Rare,110,Basic,"[2] Brilliant Voice (20) Flip a coin.  If heads, the Defending Pokemon is now Asleep.  If tails, the Defending Pokemon is now Confused.",Px2,1,30.0,47.73,99.99,34.03,,Holofoil,,[PPP] Round (30x) Does 30 damage times the number of your Pokemon that have the Round attack.,
