productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3
83525,Altaria ex (Delta Species),Altaria ex Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83525_200w.jpg,3,1411,https://cpt.tcgcsv.com/wqH,2024-04-11T16:59:17.653,1,90/101,Ultra Rare,Water,100,Stage 1,"Extra Boost - Once during your turn (before your attack), you may attach a basic Energy card from your hand to 1 of your Stage 2 Pokemon-ex.  This power can't be used if Altaria ex is affected by a Special Condition.  (Poke-POWER)",[2W] Healing Light (60) Remove 1 damage counter from each of your Pokemon.,C,FG,1,35.96,55.0,62.05,46.98,,Holofoil,,
83549,Ampharos (Delta Species),Ampharos Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83549_200w.jpg,3,1411,https://cpt.tcgcsv.com/_qH,2024-04-11T16:59:25.45,1,1/101,Holo Rare,Colorless,120,Stage 2,"Holon Veil - Treat each Basic Pokemon and Evolution card in your deck, in your discard pile, in your hand, and in play as a Pokemon that has Delta Species on its card.  (Poke-BODY)",[3] Delta Circle (20+) Does 20 damage plus 10 more damage for each Pokemon you have in play that has Delta Species on its card.,F,,2,17.99,35.2,49.97,24.53,,Holofoil,,
83549,Ampharos (Delta Species),Ampharos Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83549_200w.jpg,3,1411,https://cpt.tcgcsv.com/_qH,2024-04-11T16:59:25.45,1,1/101,Holo Rare,Colorless,120,Stage 2,"Holon Veil - Treat each Basic Pokemon and Evolution card in your deck, in your discard pile, in your hand, and in play as a Pokemon that has Delta Species on its card.  (Poke-BODY)",[3] Delta Circle (20+) Does 20 damage plus 10 more damage for each Pokemon you have in play that has Delta Species on its card.,F,,2,11.4,12.41,34.31,22.4,,Reverse Holofoil,,
83572,Arbok (Delta Species),Arbok Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83572_200w.jpg,3,1411,https://cpt.tcgcsv.com/srH,2024-04-11T16:59:30.957,1,13/101,Rare,Fire,80,Stage 1,,[1] Burning Venom - The Defending Pokemon is now Burned and Poisoned.,P,,1,0.75,1.3,3.35,1.65,0.87,Normal,"[1RR] Strangle (50+) If the Defending Pokemon has Delta Species on its card, this attack does 50 damage plus 30 more damage.",
83572,Arbok (Delta Species),Arbok Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83572_200w.jpg,3,1411,https://cpt.tcgcsv.com/srH,2024-04-11T16:59:30.957,1,13/101,Rare,Fire,80,Stage 1,,[1] Burning Venom - The Defending Pokemon is now Burned and Poisoned.,P,,1,19.99,24.0,24.98,18.82,,Reverse Holofoil,"[1RR] Strangle (50+) If the Defending Pokemon has Delta Species on its card, this attack does 50 damage plus 30 more damage.",
83705,Bagon (Delta Species),Bagon Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83705_200w.jpg,3,1411,https://cpt.tcgcsv.com/7vH,2024-04-11T16:59:37.703,1,43/101,Common,Water,40,Basic,,"[W] Granite Head (10) During your opponent's next turn, any damage done to Bagon by attacks is reduced by 10 (after applying Weakness and Resistance).",,,1,0.2,0.66,1.99,0.78,0.44,Normal,,
83705,Bagon (Delta Species),Bagon Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83705_200w.jpg,3,1411,https://cpt.tcgcsv.com/7vH,2024-04-11T16:59:37.703,1,43/101,Common,Water,40,Basic,,"[W] Granite Head (10) During your opponent's next turn, any damage done to Bagon by attacks is reduced by 10 (after applying Weakness and Resistance).",,,1,6.62,15.0,22.0,8.6,,Reverse Holofoil,,
83750,Bayleef (Delta Species),Bayleef Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83750_200w.jpg,3,1411,https://cpt.tcgcsv.com/0wH,2024-04-11T16:59:44.063,1,26/101,Uncommon,Fighting,70,Stage 1,,[1F] Poisonpowder (20) The Defending Pokemon is now Poisoned.,R,W,1,0.94,1.6,2.25,1.56,,Normal,,
83750,Bayleef (Delta Species),Bayleef Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83750_200w.jpg,3,1411,https://cpt.tcgcsv.com/0wH,2024-04-11T16:59:44.063,1,26/101,Uncommon,Fighting,70,Stage 1,,[1F] Poisonpowder (20) The Defending Pokemon is now Poisoned.,R,W,1,13.5,18.39,33.07,22.05,,Reverse Holofoil,,
83940,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83940_200w.jpg,3,1411,https://cpt.tcgcsv.com/QBH,2024-04-11T17:34:58.85,1,87/101,Uncommon,Special Energy,0,Special Energy,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  Boost Energy provides CCC Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,0.7,1.05,4.64,1.08,,Normal,,
83940,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83940_200w.jpg,3,1411,https://cpt.tcgcsv.com/QBH,2024-04-11T17:34:58.85,1,87/101,Uncommon,Special Energy,0,Special Energy,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  Boost Energy provides CCC Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,1.72,2.56,5.0,3.28,,Reverse Holofoil,,
84013,Buffer Piece,Buffer Piece,https://tcgplayer-cdn.tcgplayer.com/product/84013_200w.jpg,3,1411,https://cpt.tcgcsv.com/hDH,2024-04-11T17:01:14.473,1,72/101,Uncommon,Item,0,Tool,"Attach Buffer Piece to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","Attach Buffer Piece to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.  Damage done to the Pokemon Buffer Piece is attached to by an opponent's attack is reduced by 20 (after applying Weakness and Resistance).  At the end of your opponent's turn after you played Buffer Piece, discard Buffer Piece.",,,,0.03,0.25,1.66,0.27,,Normal,,
84013,Buffer Piece,Buffer Piece,https://tcgplayer-cdn.tcgplayer.com/product/84013_200w.jpg,3,1411,https://cpt.tcgcsv.com/hDH,2024-04-11T17:01:14.473,1,72/101,Uncommon,Item,0,Tool,"Attach Buffer Piece to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","Attach Buffer Piece to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.  Damage done to the Pokemon Buffer Piece is attached to by an opponent's attack is reduced by 20 (after applying Weakness and Resistance).  At the end of your opponent's turn after you played Buffer Piece, discard Buffer Piece.",,,,0.94,1.7,2.99,1.8,,Reverse Holofoil,,
84198,Charizard Star (Delta Species),Charizard Star Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84198_200w.jpg,3,1411,https://cpt.tcgcsv.com/-HH,2022-12-02T17:43:13.29,1,100/101,Ultra Rare,Darkness,90,Basic,,"[1D] Rotating Claws (20) 
<br>You may discard an Energy card attached to Charizard Star. If you do, search your discard pile for an Energy card (excluding the one you discarded) and attach it to Charizard Star.",W,,3,25000.0,37500.0,49999.99,999.0,,Holofoil,"[1DDDD] Dark Swirl (150) 
<br>Discard all Energy cards attached to Charizard Star and discard the top 3 cards from your opponent's deck.",
84281,Chikorita (Delta Species),Chikorita Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84281_200w.jpg,3,1411,https://cpt.tcgcsv.com/FKH,2024-04-11T17:02:27.307,1,44/101,Common,Fighting,40,Basic,,[1] Sleep Powder - The Defending Pokemon is now Asleep.,R,W,1,1.25,1.88,5.0,1.77,,Normal,[2] Tackle (20),
84281,Chikorita (Delta Species),Chikorita Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84281_200w.jpg,3,1411,https://cpt.tcgcsv.com/FKH,2024-04-11T17:02:27.307,1,44/101,Common,Fighting,40,Basic,,[1] Sleep Powder - The Defending Pokemon is now Asleep.,R,W,1,17.0,19.99,28.0,15.11,19.98,Reverse Holofoil,[2] Tackle (20),
84376,Cloyster (Delta Species),Cloyster Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84376_200w.jpg,3,1411,https://cpt.tcgcsv.com/xMH,2024-04-11T17:02:34.107,1,14/101,Rare,Fighting,70,Stage 1,"Solid Shell - Prevent all effects of attacks, including damage, done by your opponent's Pokemon to each of your Benched Pokemon that has Delta Species on its card.  (Poke-BODY)",[F] Grind (10+) Does 10 damage plus 10 more damage for each Energy attached to Cloyster.,L,,1,0.46,0.96,5.25,0.96,,Normal,,
84376,Cloyster (Delta Species),Cloyster Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84376_200w.jpg,3,1411,https://cpt.tcgcsv.com/xMH,2024-04-11T17:02:34.107,1,14/101,Rare,Fighting,70,Stage 1,"Solid Shell - Prevent all effects of attacks, including damage, done by your opponent's Pokemon to each of your Benched Pokemon that has Delta Species on its card.  (Poke-BODY)",[F] Grind (10+) Does 10 damage plus 10 more damage for each Energy attached to Cloyster.,L,,1,14.5,16.34,42.87,17.75,,Reverse Holofoil,,
84425,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84425_200w.jpg,3,1411,https://cpt.tcgcsv.com/wNH,2024-04-11T17:02:42.22,1,73/101,Uncommon,Supporter,0,Supporter,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Shuffle your hand into your deck.  Then, count the number of cards in your opponent's hand and draw that many cards.",,,,0.85,1.2,3.99,1.11,,Normal,,
84425,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84425_200w.jpg,3,1411,https://cpt.tcgcsv.com/wNH,2024-04-11T17:02:42.22,1,73/101,Uncommon,Supporter,0,Supporter,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Shuffle your hand into your deck.  Then, count the number of cards in your opponent's hand and draw that many cards.",,,,2.5,3.83,5.57,5.15,,Reverse Holofoil,,
84504,Croconaw (Delta Species),Croconaw Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84504_200w.jpg,3,1411,https://cpt.tcgcsv.com/6QH,2024-04-11T17:02:48.28,1,27/101,Uncommon,Lightning,70,Stage 1,,"[1] Scary Face - Flip a coin.  If heads, the Defending Pokemon can't attack or retreat during your opponent's next turn.",L,,1,0.88,1.67,2.8,1.94,,Normal,[2L] Slash (50),
84504,Croconaw (Delta Species),Croconaw Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84504_200w.jpg,3,1411,https://cpt.tcgcsv.com/6QH,2024-04-11T17:02:48.28,1,27/101,Uncommon,Lightning,70,Stage 1,,"[1] Scary Face - Flip a coin.  If heads, the Defending Pokemon can't attack or retreat during your opponent's next turn.",L,,1,20.0,24.24,59.99,21.96,,Reverse Holofoil,[2L] Slash (50),
84554,Cyndaquil (Delta Species),Cyndaquil Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84554_200w.jpg,3,1411,https://cpt.tcgcsv.com/6RH,2024-07-26T17:28:59.34,1,45/101,Common,Psychic,40,Basic,,"[1P] Swift (30) This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",W,,1,0.18,0.79,2.25,1.02,,Normal,,
84554,Cyndaquil (Delta Species),Cyndaquil Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84554_200w.jpg,3,1411,https://cpt.tcgcsv.com/6RH,2024-07-26T17:28:59.34,1,45/101,Common,Psychic,40,Basic,,"[1P] Swift (30) This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",W,,1,14.99,16.39,18.99,11.16,,Reverse Holofoil,,
84755,Delta Rainbow Energy,Delta Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84755_200w.jpg,3,1411,https://cpt.tcgcsv.com/7WH,2025-05-06T15:28:34.103,1,88/101,Uncommon,Special Energy,0,Special Energy,,"Delta Species Rainbow Energy provides C Energy.  While attached to a Pokemon that has Delta Species on its card, Delta Species Rainbow Energy provides every type of Energy but provides only 1 Energy at a time.  (Has no effect other than providing Energy.)",,,,0.25,0.57,2.51,0.5,0.4,Normal,,
84755,Delta Rainbow Energy,Delta Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84755_200w.jpg,3,1411,https://cpt.tcgcsv.com/7WH,2025-05-06T15:28:34.103,1,88/101,Uncommon,Special Energy,0,Special Energy,,"Delta Species Rainbow Energy provides C Energy.  While attached to a Pokemon that has Delta Species on its card, Delta Species Rainbow Energy provides every type of Energy but provides only 1 Energy at a time.  (Has no effect other than providing Energy.)",,,,2.7,3.74,7.9,4.11,,Reverse Holofoil,,
84792,Dewgong (Delta Species),Dewgong Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84792_200w.jpg,3,1411,https://cpt.tcgcsv.com/SWH,2024-04-11T17:04:30.31,1,15/101,Rare,Colorless,80,Stage 1,Delta Protection - Any damage done to Dewgong by attacks from your opponent's Pokemon that has Delta Species on its card is reduced by 40 (after applying Weakness and Resistance).  (Poke-BODY),"[2] Ice Beam (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,,2,1.22,2.0,3.99,2.2,,Normal,"[3] Surge (40+) If Dewgong has at least 2 W Energy attached to it, this attack does 40 damage plus 20 more damage.",
84792,Dewgong (Delta Species),Dewgong Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84792_200w.jpg,3,1411,https://cpt.tcgcsv.com/SWH,2024-04-11T17:04:30.31,1,15/101,Rare,Colorless,80,Stage 1,Delta Protection - Any damage done to Dewgong by attacks from your opponent's Pokemon that has Delta Species on its card is reduced by 40 (after applying Weakness and Resistance).  (Poke-BODY),"[2] Ice Beam (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,,2,17.5,22.33,25.98,12.1,,Reverse Holofoil,"[3] Surge (40+) If Dewgong has at least 2 W Energy attached to it, this attack does 40 damage plus 20 more damage.",
84907,Dragonair (Delta Species),Dragonair Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84907_200w.jpg,3,1411,https://cpt.tcgcsv.com/9-H,2024-04-11T17:04:35.747,1,28/101,Uncommon,Grass,70,Stage 1,,"[1] Wrap - Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,,2,2.5,4.31,9.75,4.69,,Normal,[2G] Horn Attack (40),
84907,Dragonair (Delta Species),Dragonair Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84907_200w.jpg,3,1411,https://cpt.tcgcsv.com/9-H,2024-04-11T17:04:35.747,1,28/101,Uncommon,Grass,70,Stage 1,,"[1] Wrap - Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,,2,35.0,44.0,51.97,23.49,,Reverse Holofoil,[2G] Horn Attack (40),
84919,Dragonite ex (Delta Species),Dragonite ex Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84919_200w.jpg,3,1411,https://cpt.tcgcsv.com/p-H,2024-04-11T17:04:41.88,1,91/101,Ultra Rare,Grass,150,Stage 2,,[2] Deafen (40) Your opponent can't play any Trainer cards (except for Supporter cards) from his or her hand during your opponent's next turn.,,,2,188.0,209.99,499.99,226.98,,Holofoil,"[2GG] Dragon Roar - Put 8 damage counters on the Defending Pokemon.  If that Pokemon would be Knocked Out by this attack, put any damage counters not necessary to Knock Out the Defending Pokemon on your opponent's Benched Pokemon in any way you like.",
84942,Dratini (Delta Species),Dratini Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84942_200w.jpg,3,1411,https://cpt.tcgcsv.com/S-H,2024-04-11T17:04:46.783,1,46/101,Common,Grass,40,Basic,,[1] Ram (10),,,1,0.7,1.27,2.99,1.28,,Normal,,
84942,Dratini (Delta Species),Dratini Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84942_200w.jpg,3,1411,https://cpt.tcgcsv.com/S-H,2024-04-11T17:04:46.783,1,46/101,Common,Grass,40,Basic,,[1] Ram (10),,,1,10.0,14.0,432.39,12.84,43.23,Reverse Holofoil,,
85105,Ekans (Delta Species),Ekans Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/85105_200w.jpg,3,1411,https://cpt.tcgcsv.com/73J,2024-04-11T16:56:13.39,1,47/101,Common,Fire,50,Basic,,[1] Bite (10),P,,1,0.15,0.5,6.18,0.67,1.49,Normal,[1R] Tail Snap (20),
85105,Ekans (Delta Species),Ekans Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/85105_200w.jpg,3,1411,https://cpt.tcgcsv.com/73J,2024-04-11T16:56:13.39,1,47/101,Common,Fire,50,Basic,,[1] Bite (10),P,,1,14.99,19.98,19.99,11.82,,Reverse Holofoil,[1R] Tail Snap (20),
85119,Electabuzz (Delta Species),Electabuzz Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/85119_200w.jpg,3,1411,https://cpt.tcgcsv.com/p3J,2024-04-11T16:56:23.81,1,29/101,Uncommon,Fighting,60,Basic,"Power of Evolution - Once during your turn (before your attack), if Electabuzz is an Evolved Pokemon, you may draw a card from the bottom of your deck.  This power can't be used if Electabuzz is affected by a Special Condition.  (Poke-POWER)","[1F] Swift (30) This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other affects on the Defending Pokemon.",F,,1,0.81,1.79,501.5,1.64,2.0,Normal,,
85119,Electabuzz (Delta Species),Electabuzz Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/85119_200w.jpg,3,1411,https://cpt.tcgcsv.com/p3J,2024-04-11T16:56:23.81,1,29/101,Uncommon,Fighting,60,Basic,"Power of Evolution - Once during your turn (before your attack), if Electabuzz is an Evolved Pokemon, you may draw a card from the bottom of your deck.  This power can't be used if Electabuzz is affected by a Special Condition.  (Poke-POWER)","[1F] Swift (30) This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other affects on the Defending Pokemon.",F,,1,19.37,19.98,24.99,12.56,,Reverse Holofoil,,
