productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText
155602,Chimchar - 76/130 [Diamond & Pearl],Chimchar 76 130 Diamond and Pearl,https://tcgplayer-cdn.tcgplayer.com/product/155602_200w.jpg,3,2175,https://cpt.tcgcsv.com/3gg2,2022-09-21T19:21:17.05,1,076/130,Promo,Fire,50,Basic,[0] Scratch (10),"[1R] Ember (30)
<br>Flip a coin. If tails, discard a Fire Energy attached to Chimchar.",W+10,1,3.0,4.05,19.99,4.76,,Reverse Holofoil,,
155603,Chimchar - 56/100 [Platinum],Chimchar 56 100 Platinum,https://tcgplayer-cdn.tcgplayer.com/product/155603_200w.jpg,3,2175,https://cpt.tcgcsv.com/5gg2,2022-09-21T19:20:47.117,1,056/100,Promo,Fire,40,Basic,[R] Flare (20),"[2] Lunge (40)
<br>Flip a coin. If tails, this attack does nothing.",W+10,1,2.03,5.12,29.95,5.1,,Reverse Holofoil,,
155604,Dialga - 16/106 [Platinum],Dialga 16 106 Platinum,https://tcgplayer-cdn.tcgplayer.com/product/155604_200w.jpg,3,2175,https://cpt.tcgcsv.com/6gg2,2023-06-30T21:24:33.52,1,016/106,Promo,Metal,90,Basic,"[M] Time Bellow (10)
<br>Draw a card.","[1MM] Flash Cannon (40)
<br>You may return all Energy cards attached to Dialga to your hand. If you do, remove the highest Stage Evolution card from the Defending Pokémon and shuffle that card into your opponent's deck.",R+20,2,4.99,7.25,49.99,7.24,,Reverse Holofoil,P-20,
155605,Eevee - 62/100 [Platinum],Eevee 62 100 Platinum,https://tcgplayer-cdn.tcgplayer.com/product/155605_200w.jpg,3,2175,https://cpt.tcgcsv.com/7gg2,2022-09-21T19:22:17.857,1,062/100,Promo,Colorless,60,Basic,"[1] Call for Family
<br>Search your deck for as many Eevee as you like and put them onto your Bench. Shuffle your deck afterward.","[1] Lunge (20)
<br>Flip a coin. If tails, this attack does nothing.",F+10,1,19.64,22.83,39.95,23.45,,Reverse Holofoil,,
155606,Giratina - 4/146 [Platinum],Giratina 4 146 Platinum,https://tcgplayer-cdn.tcgplayer.com/product/155606_200w.jpg,3,2175,https://cpt.tcgcsv.com/8gg2,2022-09-21T19:22:28.583,1,004/146,Promo,Psychic,100,Basic,"[1P] Shadow Force
<br>Choose 1 of your opponent's Benched Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Flip a coin. If heads, prevent all effects of an attack, including damage, done to Giratina during your opponent's next turn.","[2PP] Brutal Edge (50+)
<br>Does 50 damage plus 10 more damage for each damage counter on the Defending Pokémon.",Dx2,3,18.81,28.25,75.0,28.9,,Reverse Holofoil,C-20,
155607,Glaceon - 20/100 [Platinum],Glaceon 20 100 Platinum,https://tcgplayer-cdn.tcgplayer.com/product/155607_200w.jpg,3,2175,https://cpt.tcgcsv.com/9gg2,2022-09-21T19:22:46.333,1,020/100,Promo,Water,90,Stage 1,"[1W] Ice Shot (30)
<br>Does 10 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2W] Icy Wind (60)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",M+20,1,6.32,17.97,29.95,25.02,,Reverse Holofoil,,
155608,Grotle - 49/130 [Diamond & Pearl],Grotle 49 130 Diamond and Pearl,https://tcgplayer-cdn.tcgplayer.com/product/155608_200w.jpg,3,2175,https://cpt.tcgcsv.com/bgg2,2022-09-21T19:23:07.617,1,049/130,Promo,Grass,90,Stage 1,"[G] Synthesis
<br>Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.",[2G] Cut (50),R+20,3,6.72,8.4,14.99,8.87,,Reverse Holofoil,W-20,
155609,Happiny - 52/123 [Diamond & Pearl],Happiny 52 123 Diamond and Pearl,https://tcgplayer-cdn.tcgplayer.com/product/155609_200w.jpg,3,2175,https://cpt.tcgcsv.com/cgg2,2023-11-20T13:35:47.273,1,052/123,Promo,Colorless,60,Basic,"[0] Lively
<br>Remove 2 damage counters from 1 of your Pokémon.",,F+20,1,16.0,29.99,39.99,13.35,,Reverse Holofoil,,"<strong>Poké-POWER — Baby Evolution</strong>
<br>Once during your turn <em>(before your attack)</em>, you may put Chansey from your hand onto Happiny (this counts as evolving Happiny) and remove all damage counters from Happiny."
155610,Leafeon - 24/100 [Platinum],Leafeon 24 100 Platinum,https://tcgplayer-cdn.tcgplayer.com/product/155610_200w.jpg,3,2175,https://cpt.tcgcsv.com/dgg2,2022-09-21T19:23:38.58,1,024/100,Promo,Grass,90,Stage 1,"[1G] Spiral Drain (40)
<br>Remove 1 damage counter from Leafeon.","[2G] Leaf Blade (50+)
<br>Flip a coin. If heads, this attack does 50 damage plus 20 more damage.",R+20,1,4.99,13.44,34.95,15.7,,Reverse Holofoil,W-20,
155611,Lucario - 6/130 [Diamond & Pearl],Lucario 6 130 Diamond and Pearl,https://tcgplayer-cdn.tcgplayer.com/product/155611_200w.jpg,3,2175,https://cpt.tcgcsv.com/fgg2,2022-09-21T19:23:54.03,1,006/130,Promo,Fighting,90,Stage 1,"[1] Feint (30)
<br>This attack's damage isn't affected by Resistance.","[FF] Aura Sphere (40)
<br>Does 20 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",P+20,1,7.0,16.99,18.0,8.12,,Reverse Holofoil,,
